kwookwilkwowit,	kwookwilkowit,
Peroa:mo moskaltia. Ke:mah no: te:kwi, no: te:kwihkwi no:. Ke:mah. Ke:mah. Ke:mah te:kwihkwi no:.	Pero no crece. Si también se le pega uno, también se le pega a uno. Si. Si. Si se le pega a uno.
Yo:n te:kwihkwi no:. Pero yo:n kwomo:so:t a:mo te:kwihkwi n' iteyo yeh. Yeh a:mo te:kwihkwi.	Ese también se le pega uno. Pero el kwomo:so:t no se le pega a uno su semilla. ese no se le pega auno.
Wa:n okseki nió:n mo:so:t de n' mi:lahmo:so:t yo:n no: semi te:kwihkwi. Te:kwihkwi.	Y el motro mo:so:t del mi:lahmo:so:t ese también se le pega mucho a uno. Se le pega a uno.
N' ipani a de n' xiwit.	Ya encima de sus flores.
Ke:mah. Ista:k. Ke:mah pero yo:n kwomo:so:t yeh kostik n' ixo:chio wa:n yeh a:mo te:kwihkwi n' iteyo pos neli ahko ya mochi:wa.	Si. Son blancas. Si pero el kwomo:so:t son amarillas sus flores y ese no se le pega a uno sus semillas y de verás se dan en lo alto.
Nochi ista:k wa:n pos kwaltsi:n no: de xiti:ni no: te:kwihkwi. Mosemoya:wa.	Todas son blancas y pues también es bonito cuando ya se desprende se le pega auno. Se le pega a uno.
Ke:mah.	Si.
Yo:n kakaltik n' imekayo, wa:n alaxtik yeh.	Ese es duro su bejuco, y es liso.
No: takwa:wak n' i, n' i, n' ikomekayo. Kakaltik.	También es duro, su, su, su bejuco. Es duro.
No: semi 'kwihkwi ne:n kahfe:n.	También se sube mucho en los cafetos.
A:mo.	No.
Yo:n i:pa a:mo teh kwaltia para teisá: ta: i:pa sayoh para, ne:n, tapialmeh no: kinmakah.	Ese de por si no sirve para nada pues siempre es para, este, también les dan a los animales.
Ke:mah a:mo. Yeh kikwah sayoh chiktehtsitsi:n wa:n yehwa sah yo:n.	Si no. Ese nada más se lo comen los pájaritos y nada más eso.
Ke:mah.	Si.
Se: kita, ne:n,	ve uno, este,
Yo:n a:mo se: kikwi.	Ese no lo ocupa uno.
Ke:mah. Ke:mah pos yehwa sah yo:n [nimi]tstahtania wa:n	Si. Si pues eso es todo lo que te pregunto y
Mm. Pero i:n seki nochi kwali para pahti.	Si. Pero los otros todos sirven para remedio.
neh nimono:tsa niErnesto Vasquez wa:n niwa:le:wak ne: San Miguel Tzinacapan,	yo me llamo Ernesto Vázquez Chanico y vengo de San Miguel Tzinacapan,
Tasohka:matik.	Gracias.
N'neki nimitstahtani:s no: neh.	Yo también quiero preguntarte.
Ke:mah. Ke:mah.	Sí. Sí.
No: kwaltsi:n se: motahtania de ke a:koni ki:xmattok nijó:n mo:so:t.	También es bueno preguntarse entre nosotros quien conoce el mo:so:t.
Ke:mah.	Sí.
Pos neh no: niki:xmati ne:wí:n onkak, ne:wí:n ka:mpa mi:lah, ka:mpa ohte:noh.	Pues yo también conozco que se da por allá, en la milpa, en las orillas del camino.
Ka:mpa kahkafe:ntah, onkak nijó:n mo:so:t.	En los lugares donde hay plantas de café, se da el mo:so:t. 
Pos no:, no: kwaltia.	Pues también, también se usa.
Wa:n yo:n no: kwaltia para, ne:n, tapala:n.	Y esa planta tambien sirve para este, abono.
Ke:mah.	Sí.
Ke:meh i:n ka:mpa se: imi:lah, nijó:n, no:, no: semi se: kite:xi:ma wa:n pala:ni.	Como por ejemplo en la milpa este, también, también se tumba y se pudre.
Ke:mah.	Sí.
Mm.	Mm.
Te:ixka, mm.	Causa urticaria, mm.
No: kwali se: mota:lilia.	También se puede aplicar en la parte adolorida.
Entó:s se: kima:koto:na, nijó:n, ompa se: kikwiti iselo wa:n, ne:n, tepitsi:n komekaxiw[it], n' iselo.	Entonces se cortan las hojas, se usan las hojas tiernas y este, con un poco de hojas tiernas de beju[co].
Se: kima:xakwalowa wa:n tepitsi:n ya ma:talin	Se restriegan las hojas con unas hojas de ma:talin
wa:n se: mota:lilia ka:mpa ne: te:ixka.	y se aplica en la parte afectada.
Ke:mah.	Sí.
Mahyá:, mahyá: yo:n to:pitsmeh ya mokalakia kihtowah, to:pits.	Se meten así como ganglios, dicen que son ganglios.
Mm, ka:mpa te:kwa.	Mm, en el lugar donde se siente urticaria.
Wa:n yehwa yo:n te:iliah mah se: kikwiti a, nijó:n, mo:so:t wa:n mah se: mota:li[li].	Y eso es lo que  recomiendan que se consigan las hojas del mo:so:t y se aplique. 
Wa:n ekintsi:n no: nochi kimattokeh wa:n tehwa no: xa:, xa: tikmatis no: wa:n no: yo:n. Pos no:, no: niki:xmattok, ne:n, no: se: taman.	Y actualmente todos lo saben y usted tal vez sepa también. Pues yo también conozco este un tipo de mo:so:t que también es diferente.
Wa:n iteyo, ne:n, wihwitsioh.	Y sus semillas son este como espinas.
Wihwitstik. Mahyá: sempowalxo:chit n' iteyo, mm.	Son como espinas. Como si fueran semillas de sempowalxo:chit, mm.
Wa:n yo:n ka:mpa se: kitamo:ta, ne:n, se: kite:nxi:ma, nijó:n, ixwa.	Y donde se tiran, este cuando se tumba la mata ahí germinan las semillas.
Ixwa.	Germinan.
Ixwa, ka:nsika se: kita tsikitsitsi:n yo:n, pero yo:n, se: kwihwita wa:n a:mo, a:mo semi takwa:wak.	Germinan, en algunas partes uno ve que hay plantas pequeñas, pero la mata se arranca y no, no es muy dura.
Yema:nik, mm. Paniá:n sah. Ke:mah, mm.	Es blandita, mm. Se enraiza encima nada más. Así es, mm.
semi ixwa. E:wi.	ahí nacen muchas plantas. Nacen.
Ke:mah.	Sí.
ke we:lik no: para se: kimanaya.	que también es bueno para preparar en caldo.
Ke:mah.	Sí.
Ke:mah, ihko:ni. Ke:mah.	Sí, así es. Sí.
Ke:mah, ata pala:ni.	Sí, se pudre.
kwaltsi:n ne:n tapala:nyohtok.	Hay mucha fertilidad.
Ke:mah.	Sí.
A:mo paniá:n moka:wa pero de se: kite:nxi:ma oso ke:meh i:n se: kitamo:tas ne:wí:n moka:wa semi paniá:n.	No queda encima pero cuando se tumban las matas o se tiran al suelo si se quedan encima.
Ke:mah.	Sí.
Ke:mah. Mm.	Sí. Mm.
Wa:n yehwa yo:n wa:n ekintsi:n pos no:, no: teh xa:, xa: kachi tikmattos de ke, xa: kachi tikmattos de ke para ton yo:n se:, se: kikwi.	Y eso es lo que platicamos ahora, pues usted tal vez sepa más, quizá usted sabe más para que se usa esa planta.
Ke:mah, pos no: tiki:xmattokeh tehwa:n ne: yo:n, no: tiki:xmattokeh mo:so:t, neli mochi:wa mi:lah ke:meh tikihtowa wa:n nejó:n ista:k ixo:chio wa:n, nejó:n, ma:i:xse: sah.	Sí pues también conocemos nosotros este ese, también conocemos el mo:so:t, es cierto que se da en la milpa como usted lo dice y tiene sus flores de color blanco y tienen un sólo pétalo. 
Kina:miki wa:n a:mo te:malowa, ki:xwa:tsa wa:n moskaltia nimantsi:n, i:xpanki:sa.	Le hace efecto y no se infecta, le ayuda a cicatrizar y va sanando muy pronto.
Yeh. A:, yo:n mowi:wila:na itech kahfe:n xiwma:ko.	Ese. Es el que se extiende en las ramas de las matas de café.
Ke:mah, mochi:wa ka:mpa xiwka:wal, ka:mpa mi:lah, a:mo mochi:wa yo:n, ka:mpa se: tame:wa pos ne: a:mo, a:mo mochi:wa. Pero ka:mpa xiwka:wal mochi:wa ata yo:n kwamo:so:t.	Sí, se da en los chaparrales, en la milpa no se da, ese no se da, donde se limpia continuamente no se da. Pero en lugares donde ya no se ha chapeado se da el kwamo:so:t.
Wa:n,	Y,
Tak kwe:liliah, kwe:liliah.	Creo que les gusta, les gusta.
Ke:mah, moto:ka, moto:ka.	Sí, se entierran y pican.
Mm.	Mm.
A:mo witsioh, yo:n alaxtik.	No tiene espinas, su tallo es liso.
Oso xa: a:mo se: kimati, ta: xa: ikowyo xa: chichi:k eski.	O tal vez uno no sabe, su tallo tal vez tenga un sabor amargo.
Pos yehwa yo:n kikwah, ne:n,	Pues esos si se alimentan, los,
Ke:mah, ke:mah, kikwah yo:n. Ke:mah.	Sí. sí, se alimentan de esas plantas. Sí.
Kwe:liliah tapialmeh yehwa:n, yo:n kwe:liliah.	A los animales si les gusta, les gusta alimentarse.
Ke:mah. Ke:mah, pahti no:.	Sí. Sï, también es medicinal.
Pahti no:.	También es medicinal.
De e:yi kikwih para te:na:miki.	Ocupan tres hojas para que haga efecto.
Ke:mah, mm.	Sí, mm.
Ka:n eski:sa ok, moketsa esti.	Ya no sangra, se coagula la sangre.
Ke:mah.	Sí.
Ke:mah, kitsakwilia no:.	Sí, también lo detiene.
Ke:mah.	Sí.
Ka:n onkak yo:n mo:so:t pos no: kwaltsi:n no:, no: tikmattok, yo:n semi kwali para ne:n tapialmeh.	Donde hay el mo:so:t pues también es bonito, usted también lo sabe que es muy bueno para los animales.
No: mochi:wa, nowiyá:n ne:n mochi:wa sayoh pos nowiyá:n tikitstinemih, ihkó:n, ne:n, mm.	También se da, se da en varios lugares porque lo hemos visto en varias partes, así es, este, mm.
tiki:xmattokeh yo:n mo:so:t, o:me taman wa:n ika yo:n mah, mah nimitstahtani ox no: tiki:xmattok, neh niki:xmattok o:me taman wa:n	conocemos el mo:so:t, son dos tipos y por eso te pregunto si lo conoces, yo conozco dos tipos y 
Mm, ke:mah.	Mm, sí.
Ke:mah, ihko:ni.	Sí, así es.
Ke:mah kwamo:so:t, mm	Sí el kwamo:so:t, mm.
No: niki:xmattok, yehwa yo:n itech kahfe:n mowi:wila:na.	También lo conozco, es el que se extiende en las matas de café.
Ke:mah.	Sí.
A:mo, a:mo we:lik pero kikwah ne: yo:n.	No,  no es comestible pero se lo comen los. 
Ke:mah.	Sí.
Ke:mah, ihko:ni.	Sí, así es.
Ke:mah, mm.	Sí, mm.
Ke:mah.	Sí.
Ke:mah.	Sí.
Ima:y, nijó:n, wa:n no: selia, no: wehka mowila:na.	Este, así son sus hojas verdes y el tallo se extiende a lo largo.
Ke:mah.	Sí.
Ka:nsika mowila:na itech se: kowit oso ima:pan de n' kahfe:n.	En algunas partes se extiende en las ramas de un árbol o en las ramas de las matas de café.
Kikwah semi. Mm, mm.	Les gusta mucho alimentarse de esa planta. Mm, mm.
Ke:mah. Kikwah chiktehmeh.	Sí. Los pájaros se alimentan de las hojas.
Ke:mah.	Sí.
Ke:mah.	Sí.
Yo:n, ke:mah, motaktsonta:lia wa:n miak nimah ki:sa yo:n ata ka:mpa e:wa.	Esa planta sí, es una mata grande y tiene muchos retoños en donde se encuentra.
Ke:mah, mm.	Sí, mm.
Ke:mah, ka:mpa e:wi ihkó:n tak, ne:n, de n' ikone:wa:n ya wa:n pos yehwa nijó:n pero a:mo, a:mo witsioh.	Sí, en donde nace la mata tiene varios retoños y pues ese no tiene espinas.
Ka:n witsioh, ke:mah. Mm.	No tiene espinas, sí. Mm.
A:mo witsioh. Kwaltsi:n nijó:n kwamo:so:t, yo:n yehwa, ne:n, kikwah pero a:mo n'mati xa: no: tikmattos katí:n okwiltsitsi:n, xa: kachi seki kikwah.	No tiene espinas. Es bonito el kwamo:so:t, es esa planta del que se alimentan, pero no sé, quizá usted también sabe qué animalitos se alimentan más.
achi ahwiá:k yo:n xiwit, achi taman sah ahwiá:k wa:n,	tiene un olor raro esa planta, es raro su olor y,
Kwali kikwah, ne:n, a:kwetahmeh pero yo:n mo:so:t pisi:ltik a:mo kikwah a:kwetahmeh, yehwa:n kikwah ke:meh i:n piotsitsi:n oso,	Se pueden alimentar de esa planta las chachalacas pero con el mo:so:t chiquito no se alimentan esas aves, se pueden alimentar con esta planta como las gallinas o 
Yo:n niki:xmattok.	Ese lo conozco.
Ahwia:k ne:n kwamo:so:t, okse: pos a:mo, a:mo kachi ahwia:k pero yehwa kwe:liliah, yehwa, ne:n, piotsitsi:n.	Tiene un olor el kwamo:so:t, el otro no tiene olor fuerte pero a los pollitos les gusta alimentarse de esta planta. 
Ke:mah, yehwa, yehwa kinimakah, mm. Kimpilowiliah, ke:mah ihko:ni.	Sí, a esos animales se les da para que coman, mm. Se cuelga un rollo de hierbas, sí así es.
Ke:mah.	Sí.
Kikwah, mm.	Se las comen, mm.
Yehwa, yehwa, yehwa ata kikwah.	Esos, esos, esos son los que se comen las hojas.
Kikwah no:.	También se las comen.
Ka:n ta: kikwah yo:n kiliah kwopach.	De esas hojas se alimenta la oruga que le llaman kwopach.
Mm, kikwah.	Mm, se comen las hojas.
Ke:mah, o:me taman, mm, mm.	Sí, hay dos tipos, mm, mm.
Yo:n ti:ltikeh wa:n yo:n xoxoktikeh wa:n po:ktikeh.	Hay uno de color negro y otro de color verde.
Yehwa yo:n te:kokoh ya, mm.	Y luego ya se siente el dolor, mm.
Ke:mah.	Sí.
N' kopachsipo.	El kopachsipo.
Ke:mah, kopachsipo seki. Mm.	Sí, el kopachsipo. Mm.
Mm, ke:mah tikitanih, yo:n iwitsio moketsa mahyá: mahmaxaleh.	Mm, sí lo hemos visto, tiene sus pelos parados como con unas ramitas.
Ke:mah.	Sí.
Ke:mah.	Sí.
Wa:n komohkó:n ne:n itech se: itilmahtsi:n pos ompa ne: panowa, ne: te:ihixka ya.	Y si se encuentra en la ropa pues de ahí ya puede uno rozarse y después se siente el dolor urticante.
Ke:mah, pos yehwa sah yo:n nimitstahtania ke ox tiki:xmati yehwa i:n mo:so:t wa:n ekintsi:n n'matik a no: wa:n soh 'ne:chili ne: moto:ka:y wa:n ka:n tiwa:le:wak.	Sí, pues es todo lo que te pregunté si conocías el mo:so:t y ahora pues ya lo supe, ahora ya nada más dime tu nombre y de donde vienes.
Niwa:le:w ne: San Miguel Tzinacapan.	Vengo de San Miguel Tzinacapan.
A:, we:noh, tasohka:matik.	A bueno, gracias.
Pos kwali tine:chili:s katí:n yo:n, i:n tikilia ta:la:ni:l.	Pues me puedes decir cual es ese, que le decimos ta:la:ni:l.
Yo:n mochi:wa yo:n tikihtowa, ne:n, ke:ní:w kichi:wah para teisá: no:chi kwali tine:chili:s.	Ese se da, ese que dices, este, como lo hacen para algo, todo me puedes decir.
Pos neh, teh tikmattos.	Pues yo, tu has de saber.
A:ni:l.	A:ni:l.
A:mo semi telwehwei.	No son muy grandes. 
A: tsikitsi:n, a:mo we:weyak.	Este son chiquitos, no son largos.
Ikalte:noh katka Ramón María na:nahtsi:n yo:n ne: ka:mpa n' ekintsi:n yetok, ne:n, ka:mpa yetok ekintsi:n [Eu]logio, ta:tahtsi:n.	En la orilla de la casa de la señora Ramón María ahí donde actualmente está, este, donde ahora está el señor Eulogio.
A:.	Aa.
Yo:n kali, ke:mah nochi, nochi wapal katka n' itsi:ntsakka kaltsi:n.	Esa casa, si toda, toda era de madera sus muros de la casita.
Ta:la:ni:l, nochi onkaya. Pos nejó:n ahwia:k.	El ta:la:ni:l, todo abundaba. Pues ese tiene rico aroma.
Kanah ta: pos ne: we:lik no: wa:n kiahwia:lia:ya ne:n koyo:taxkalkaltsi:n, kita:lilia:yah yo:n.	No pues también es rico y de un aroma rico a los panes, le ponian eso.
a:mo kita:lilia:yah, yo:n yetok sah tein kita:lilia:yah yo:n nimitsilia kita:lilia:yah yo:n i:xyehyewaltik sah wa:n tsitsikiltik.	no le ponían, nada más son específicos a los que les ponían, te digo que nada más les ponían a los circulares y rasposos.
A:, sayoh yetoya no: tein kita:lilia:yah.	Aa, nada más son panes especificos a los que les ponían.
I:pa yehwa kihtowah kita:lilia:yah yo:n.	Dicen que nada más eso le ponían.
Ke:mah, pero a:mo n'mati ox pahti, tehwa:n tikitayah	Si, pero no sé si sirve para remedio, nosotros veíamos
Tika:wtia:yah ke:meh tehwa:n te:chmachtih, a:kin te:chmachtia:ya.	Lo íbaos dejando como así nos enseñó el que nos daba clases.
A:mo katka nexi:kol, a:mo katka te:chnawatih, "X'wiwitaka:n i:n, mah poliwi a". A:mo.	No era envidioso, no lo era porque nos avisó, arranquen esto para que ya se extinga. No.
Iwki kichi:waya a:kin te:chmachtia:ya. Pos pané: ka:n ke:man nikita ok, nimitsilia poliwi ke:meh i:n tawehwelohkeh nochi ne:n tokni:wa:n wa:n tekiwa:nih kinemiliah mah nochi tei:xko ya ne:n ohti	Así hacía el que nos daba clases. Pues parece que ya nunca vi, te digo que se extingue como descompusieron todo las personas y las autoridades deciden que ya todo sea de piedra el camino.
Yehwa:n ya ne:n kinohchi:wihkeh kwali para ne:nke:n tsi:tsikwi:niskeh pero, pero tein yo:n ke:meh pahxiwmeh, ke:meh poliw ixiwyo tikihtkeh wa:n ke:meh yehwa ta:la:ni:l a:mo onkak ok.	Ya a ellos les hicieron buen camino para que puedan transitar facilmente pero, todo lo que eran hierbas medicinales, se perdieron como el ta:la:ni:l ya no hay.
Wa:n ne:wí:n itech ohti a:mo kanah se: kitas tak, ne:w:ín. A:mo kanah.	Y por ahí en el camino quizá ya no se pueda ver, por ahi. Ya no hay donde. 
Ninemiti ihkó:n pero a:mo nikita kanah ok.	Voy a andar así pero ya no lo veo en ningun lugar.
Wa:n ekintsi:n titatame:wah ne: we:ikalte:noh pero a:mo teh nikita ok, ekintsi:n sakat nochi moi:xkwitok.	Y ahora limpiamos allá en frente del palacio pero ya no lo he visto, ahora todo esta cubierto de zacate.
Wa:n yo:n no:, no: xo:chiowa.	Y ese también, también florece.
Ke:meh yo:n mo:so:t, soh ke tsikitsitsi:n.	Como la aceitilla, nada más que son chiquitos.
Ma:tsikitsitsi:n.	De hojas chiquitas.
Wa:n yo:n no:, no: teyowa tak, no:, no: kipia iteyo.	Y ese también, quizá también da semillas, también, también tiene sus semillas.
Ah, tsikitsitsi:n.	Ah, son chiquitas.
Wa:n no: tihti:ltik.	Y también son negras.
moka:wa yo:n, yo:n iteyo ya	ya se queda ese, ya sus semillas
tein itsi:nkaxio iteyo, yehwa ya iteyo yo:n mochi:waya.	las semillas del calix, ya es lo que se hace su semilla.
Wa:n yo:n a:chá: no: 'kwa:yah chiktehmeh.	Y eso a lo mejor también se lo comían los pájaros.
A:mo. Yeh ompa, ompa ixwa ya sah tak panxi:nia. Ompa ixwaya.	No. Ese ahí, a lo mejor nada más ahí germinaba de que se caía al suelo. Ahí germinaba.
wa:n kita:lilihkeh, tet kisohso:wkeh ya, ompa poliw yo:n xina:ch tein onkaya.	y le pusieron, ya extendieron la piedra, ahí se extinguió esa semilla que había.
Kwiwitakeh wa:n kima:nelohkeh iwa:n ta:l eski.	Lo arrancaron y a lo mejor lo revolvieron con la tierra.
Pero ekintsi:n ke:meh tawehwelohkeh tekiwa:nih, kihtowah kiye:kchi:wkeh, ke:mah.	Pero ahora que descompusieron las autoridades, dicen que lo arreglaron, si.
Pero sentaman kipolohkeh tein onkaya nejó:n, ke:meh yo:n, ompa telonkaya poliwinixiwit no:, motelchi:waya.	Pero por una parte exterminaron lo que ahí había, como ese, ahí abundaba eso que le llaman poliwinixo:chit, también abundaba mucho.
A:, no: onkaya ompa ne:.	Aa también abundaba ahí.
Telonkaya ompa no:.	Abundaba mucho ahí también.
Kipolohkeh wa:n ka:ni ok e:wati wa:n wehkatan ne:n tachkwakeh, a:it ka:n ahsik yo:n xina:ch.	Lo exterminaron y como iba a nacer más y escarbaron hondo, quien sabe donde fue a terminar esa semilla.
Eski mopachoh eski wa:n xa: ne:wí:n kitamo:tatoh ke:meh kololohkeh ne:n ta:ltsi:n, nochi ta:li:xololohkeh pos kitamo:tkeh.	A lo mejor se tapó, a lo mejor lo fueron a tirar por ahí así como lo recogieron la tierrita, todo lo levantaron y pues lo tiraron.
Ke:mah wa:n mopachoh, kwi:kak a:t, iwki ke:mah. Kitamo:tkeh wa:n kita:lilihkeh tet ika kisohso:wkeh.	Si y se tapó, se lo llevó el agua, si así. Lo tiraron y le pusieron piedra, colocaron piedras.
Kipachohkeh.	Lo taparon.
Ka:n ne: wa:le:wati ok yo:n xina:ch wa:n ka:n, ka:n tei ok, nochi se: tama:me:wa, [tama:]me:wa ke:meh yo:n ta:la:ni:l, ke:meh yo:n poliwinixiwit wa:n nochi tet kisohso:wkeh, a:mo, a:mo onkak ok.	De donde va a germin ar esa semilla pues ya no, ya no hay, todo limpia uno a mano, limpia uno a mano y ese ta:la:ni:l, como ese poliwinixiwit y colocaron puras piedras, no, ya no hay.
Ma:ski yetoya tatampa ne:n xina:ch pero kita:lilihkeh ne:n tet ompa paniá:n kita:lihkeh pos a:mo wel panki:sak ok.	Aunque la semilla hubiera debajo pero como colocaron las piedras ahí lo colocaron en la superficie pues ya no puede germinar. 
A:mo mochi:wa ok.	ya no se dió.
Kitsakwilih.	Le tapó.
A:ah, ompa telonkaya nimitsilia, ompa telonkaya yo:n ta:la:ni:l, tikitayah wa:n yehwa ne:n poliwinixiwit telonkaya.	Aa, te digo que ahí abundaba mucho, ahí abundaba mucho ese ta:la:ni:l, lo veíamos y ya ese poliwinixiwit abundaba mucho. 
Kanah. Ekintsi:n tikwelitah pa:pata:wak pahti pero pos a:mo teh, a:mo teh pahti ok para de yo:n, de yo:n kokolis tikihtohtoyah de chi:chi:lkokot.	No. ahora nos gusta los medicamentos anchos pero pues ya no, ya no hay remedio para eso, esa enfermedad del que estábamos hablando de los granos rojos.
A:mo kikowati:wih, ohti sah, ohte:noh onkaya.	No lo compraban, nada más en el camino, abundaba en las orillas de caminos.
A:mo mone:neki. Pero i:n seki poliwini xiwit a:mo mochi:wa ok wa:n ta:la:ni:l a:mo no: mochi:wa ok.	No se chiquea. Pero esta otra hierba el ppoliwini ya no se da y el ta:la:ni:l ya tampoco hay.
Pos neli i:n tein poliwi xiwit ompa no: mochi:wa ya.	Pues de verás este del poliwixiwit ahí también se daba.
Ke:mah, ka:n teh, ka:n teh se: kita ok.	Si, ya no, ya no lo ve uno.
A:mo teh se: kita ok.	Ya no ve uno nada.
itech se: a:matsi:n wa:n ki:xmatiskeh ke:niwki yo:n katka. Neh nikmattok ke:ní:w katka, kwali nikchihchi:was	en una hoja y lo van a conocer como era ese. Yo sé como era, lo puedo hacer
Pos de a:mo, a:mo se: ki:xmati, a:mo se: kimati ke:niwki ixiwyo, ke:niwki ikowyo.	Pues de que no, no lo conoce uno, no sabe uno como son sus hojas, como es su tallo.
Ke:mah. Ka:n se: kimati ke:ní:w wa:n tiihtowa ma:weyak tepitsi:n pero ka:n kimatih ke:niwki.	Si. No sabe uno como es y decimos que tiene las hojas un poco largas pero no saben como es.
Tepitsi:n ma:we:weyak yo:n, ma:pisi:ltik wa:n ma:we:weyak wa:n ahwia:k ixiwyo nochi, yehwa yo:n ixiwyo.	Ese es de hojas un poco alargadas, es de hojas chiquitas y largas y sus hojas tienen rico aroma, así todas sus hojas.
Yehwa yo:n ahwia:k semi.	Ese tiene rico aroma.
Ka:n se: kimati ka:n ahsik.	No sabe uno donde se fue.
A:it ka:n ahsik yo:n ta:la:ni:l.	Quien sabe donde fue a parar ese ta:la:ni:l.
A:mo se: kimati. Pero telonkaya ompa ne: kalte:noh, telonkaya ne: we:ikalte:noh tikitakeh.	No sabe uno. Pero abundaba mucho ahí en la entrada del palacio, vimos que abundaba mucho en la entrada del palacio.
Mm.	Mm.
Ka:n, a:mo se: ki:xmati.	No, no lo conoce uno.
Mm, koyo:taxkal kita:lilia:yah, ke:mah.	Mm, si, le ponían a los panes.
Mm.	Mm.
Pos kwaltsi:n ahwia:ya tikihtowa ne:n pa:ntsi:n. Wa:n ekintsi:n a:mo kita:liliah, pos a:mo tei ok.	Pues decíamos que olía bonito ese pan. Y ahora no le ponen, pues ya no hay. 
A:mo onkak ok.	Ya no hay.
Wa:n a:ksá: tein ki:xmatia pos a:chá: kiliayah mah 'kwiti.	Y akguien que lo conocía pues a lo mejor le decían que lo fuera a traer.
Ka:nah wa:n yo:n kwaltsi:n kichi:wayah kahwia:lia:yah ika.	No y con eso lo hacían bonito pues con eso le daban rico aroma.
Ke:mah.	Si.
Mah 'kwiti, kitekiti yo:n xiwit.	Que lo fuera a traer, lo va a cortar esa hierba.
Ke:mah.	Si.
Pero ke:meh ekintsi:n pos a:mo, a:mo se: ki:xmati wa:n sepa a:mo no: tei ok.	Pero como ahora pues no, no lo conoce uno y por otra parte ya no hay.
Ka:n tei ok. Wa:n ihwa:k no: kwaltsi:n ki:saya ne:n koyo:taxkal,	Ya no hay. Y en ese tiempo tabién salía rico el pan,
telpatioh katka, e:yi ika o:me tomi:n.	era muy caro, tres por dos pesos.
E:yi ika o:me tomi:n.	Tres por dos pesos.
Wehwei, wehwei katka ke:meh ekintsi:n yo:n kinamakah, wi:tsa yo:n de Tlaxcala.	Eran grandes, eran grandes como ahora de los que venden, que viene de Tlaxcala.
Wehwei.	Grandes.
I:xtsohtsope:k katka, e:yi ika o:me tomi:n	Eran de superficie dulce, tres por dos monedas
Ekintsi:n a:mo, ekintsi:n te:makah tsikilitsi:n, ne:n, te:makah.	Ahora no, ahora le dan a uno poquito, este, le dan a uno.
Ihwa:k katka ne: e:yi ika o:me tomi:n pero telwehwei ke:meh yo:n kwa:lkwih ompa ne:, ne: Tlaxcala kihtowah kinemi:lti:kih.	En ese entonces era tres por dos monedas pero muy grandes como los que traen de allá de Tlaxcala, dicen que lo vienen a vender.
Achi katka de wehwei, e:yi ika o:me tomi:n.	Así eran de grandes, tres por dos monedas.
Wa:n ihwa:k kipi:kiah ika teisá: a:mat.	Y en ese tiempo lo envolvían con algún papel.
Yehwa yo:n katka, ke:mah, o:me tomi:n kiliah.	Eso era, si, dos monedas le dicen.
Mm, o:me tomi:n.	Mm, dos monedas.
Na:wi tomi:n, mm.	Cuatro monedas, mm.
A:mo kimatih ka:nachi o:me tomi:n.	No saben cuanto es dos monedas.
Ta:taman ya.	Ya es diferente.
Ekintsi:n a:mo tiki:xmatih n' o:me tomi:n, na:wi tomi:n.	Ahora no conocemos las dos monedas o las cuatro monedas.
Ka:n tiki:xmatih ok, ka:n tiki:xmatih ok.	Ya no lo conocemos, ya no lo conocemos.
Chikwase:n tomi:n a:mo, a:mo, miak a:mo kimatih chikwase:n tomi:n.	Seis monedas no, no, muchos no saben de las seis monedas.
Ekintsi:n pos para i:n, ekintsi:n ke:meh i:n tietokeh, a:mo, a:mo ahsi ok yo:n, a:mo teh, a:mo teh, a:mo teh ika se: kikowa ok yo:n tomi:n,	Ahora pues para este, ahora así como estamos, no, ya no alcanza eso, nada, nada, ya no compra uno nada con ese dinero,
a:mo teh se: kikowa ok ika.	ya no compra uno nada.
Ehe, kita:lilia:yah.	Aja, le ponían.
Yehwa ekintsi:n timomati:ltihtokeh, no: kwali a ke tine:chilih.	Eso es lo que hoy nos estamos haciendo saber, que bueno que me dijiste.
Neh kwali nikchihchi:was itech se: a:mat wa:n para kitaskeh n' pi:pil wa:n tokni:wa:n,	Yo lo puedo dibujar en una hoja para que lo vean los niños y las personas,
ke:niwki tamatia yo:n, yo:n ta:lpana:ni:l.	como eran las caracterisitcas de ese, ese ta:lpana:ni:l.
Ke:mah, kwali kihkwilo:s wa:n poliwinixiwit no: kwali nikihkwilo:s wa:n nikne:xti:s	Si, lo puedo dibujar y el poliwinixiwit también lo puedo dibujar y mostrarlo
Ke:mah. Mm, ke:mah, welis.	Si. Mm, si, se puede.
Mm, ke:mah.	Mm, si.
Ke:mah.	Si.
Yo:n niman se: kita ke xoxoktik semi ima:y, ta: xoxoktik.	Eso lo reconoce uno luego porque sus hojas son muy verdes, pues son verdes.
Mahyá: yo:n okoxa:l, soh ke ye:kma:we:weyak.	como el okoxa:l, nada más que ese es de hojas muy largas.
Ma:we:weyak.	Es de hojas largas.
Pero iwki tamatisneki a, iwki, iwki ma:we:weyak n' ixiwyotsi:n.	Pero así ya tiene un parecido, así. así de alargadas son sus hojas.
A:mo semi we:weyak n' ixiwyo.	No tiene las hojas muy largas.
Iwki we:weyak wa:n pi:pitsaktik sak. Kanah ihkwí:n sah.	Así son de largos y angostos. Más o menos así.
